# Columns:
#: UTF-8 (hex.)	Unicode code point	character	UTF-8 (hex.) replacement	name

# Unicode U+0080 -- U+00FF
# Letters

4F cc 84	U+014C	Ō	c5 8c	LATIN CAPITAL LETTER O WITH MACRON
6F cc 84	U+014D	ō	c5 8d	LATIN SMALL LETTER O WITH MACRON
4F cc 86	U+014E	Ŏ	c5 8e	LATIN CAPITAL LETTER O WITH BREVE
6F cc 86	U+014F	ŏ	c5 8f	LATIN SMALL LETTER O WITH BREVE
4F cc 8b	U+0150	Ő	c5 90	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
6F cc 8b	U+0151	ő	c5 91	LATIN SMALL LETTER O WITH DOUBLE ACUTE
-	U+0152	Œ	c5 92	LATIN CAPITAL LIGATURE OE
-	U+0153	œ	c5 93	LATIN SMALL LIGATURE OE

52 cc 81	U+0154	Ŕ	c5 94	LATIN CAPITAL LETTER R WITH ACUTE
72 cc 81	U+0155	ŕ	c5 95	LATIN SMALL LETTER R WITH ACUTE
52 cc a7	U+0156	Ŗ	c5 96	LATIN CAPITAL LETTER R WITH CEDILLA
72 cc a7	U+0157	ŗ	c5 97	LATIN SMALL LETTER R WITH CEDILLA
52 cc 8c	U+0158	Ř	c5 98	LATIN CAPITAL LETTER R WITH CARON
72 cc 8c	U+0159	ř	c5 99	LATIN SMALL LETTER R WITH CARON

53 cc 81	U+015A	Ś	c5 9a	LATIN CAPITAL LETTER S WITH ACUTE
73 cc 81	U+015B	ś	c5 9b	LATIN SMALL LETTER S WITH ACUTE
53 cc 82	U+015C	Ŝ	c5 9c	LATIN CAPITAL LETTER S WITH CIRCUMFLEX
73 cc 82	U+015D	ŝ	c5 9d	LATIN SMALL LETTER S WITH CIRCUMFLEX
53 cc a7	U+015E	Ş	c5 9e	LATIN CAPITAL LETTER S WITH CEDILLA
73 cc a7	U+015F	ş	c5 9f	LATIN SMALL LETTER S WITH CEDILLA
53 cc 8c	U+0160	Š	c5 a0	LATIN CAPITAL LETTER S WITH CARON
73 cc 8c	U+0161	š	c5 a1	LATIN SMALL LETTER S WITH CARON

54 cc a7	U+0162	Ţ	c5 a2	LATIN CAPITAL LETTER T WITH CEDILLA
74 cc a7	U+0163	ţ	c5 a3	LATIN SMALL LETTER T WITH CEDILLA
54 cc 8c	U+0164	Ť	c5 a4	LATIN CAPITAL LETTER T WITH CARON
74 cc 8c	U+0165	ť	c5 a5	LATIN SMALL LETTER T WITH CARON
-	U+0166	Ŧ	c5 a6	LATIN CAPITAL LETTER T WITH STROKE
-	U+0167	ŧ	c5 a7	LATIN SMALL LETTER T WITH STROKE

55 cc 83	U+0168	Ũ	c5 a8	LATIN CAPITAL LETTER U WITH TILDE
75 cc 83	U+0169	ũ	c5 a9	LATIN SMALL LETTER U WITH TILDE
55 cc 84	U+016A	Ū	c5 aa	LATIN CAPITAL LETTER U WITH MACRON
75 cc 84	U+016B	ū	c5 ab	LATIN SMALL LETTER U WITH MACRON
55 cc 86	U+016C	Ŭ	c5 ac	LATIN CAPITAL LETTER U WITH BREVE
75 cc 86	U+016D	ŭ	c5 ad	LATIN SMALL LETTER U WITH BREVE
55 cc 8a	U+016E	Ů	c5 ae	LATIN CAPITAL LETTER U WITH RING ABOVE
75 cc 8a	U+016F	ů	c5 af	LATIN SMALL LETTER U WITH RING ABOVE
55 cc 8b	U+0170	Ű	c5 b0	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
75 cc 8b	U+0171	ű	c5 b1	LATIN SMALL LETTER U WITH DOUBLE ACUTE
55 cc a8	U+0172	Ų	c5 b2	LATIN CAPITAL LETTER U WITH OGONEK
75 cc a8	U+0173	ų	c5 b3	LATIN SMALL LETTER U WITH OGONEK

57 cc 82	U+0174	Ŵ	c5 b4	LATIN CAPITAL LETTER W WITH CIRCUMFLEX
77 cc 82	U+0175	ŵ	c5 b5	LATIN SMALL LETTER W WITH CIRCUMFLEX

59 cc 82	U+0176	Ŷ	c5 b6	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
79 cc 82	U+0177	ŷ	c5 b7	LATIN SMALL LETTER Y WITH CIRCUMFLEX
59 cc 88	U+0178	Ÿ	c5 b8	LATIN CAPITAL LETTER Y WITH DIAERESIS

5A cc 81	U+0179	Ź	c5 b9	LATIN CAPITAL LETTER Z WITH ACUTE
7A cc 81	U+017A	ź	c5 ba	LATIN SMALL LETTER Z WITH ACUTE
5A cc 87	U+017B	Ż	c5 bb	LATIN CAPITAL LETTER Z WITH DOT ABOVE
7A cc 87	U+017C	ż	c5 bc	LATIN SMALL LETTER Z WITH DOT ABOVE
5A cc 8c	U+017D	Ž	c5 bd	LATIN CAPITAL LETTER Z WITH CARON
7A cc 8c	U+017E	ž	c5 be	LATIN SMALL LETTER Z WITH CARON

-	U+017F	ſ	c5 bf	LATIN SMALL LETTER LONG S
